,visit_id,cookie_id,page_id,event_type,sequence_number,event_time
62,e0ce49,167909,13,3,13,2020-01-25 22:49:37.372524
63,8479c1,8f14e4,1,1,1,2020-02-09 17:27:58.86766
64,8479c1,8f14e4,2,1,2,2020-02-09 17:28:19.121935
65,8479c1,8f14e4,9,1,3,2020-02-09 17:29:04.117961
66,8479c1,8f14e4,11,1,4,2020-02-09 17:29:53.831275
67,8479c1,8f14e4,11,2,5,2020-02-09 17:30:37.055533
68,8479c1,8f14e4,12,1,6,2020-02-09 17:31:23.897656
69,8479c1,8f14e4,13,3,7,2020-02-09 17:31:44.111949
70,a6c424,c9f0f8,1,1,1,2020-02-12 11:23:54.788493
71,a6c424,c9f0f8,2,1,2,2020-02-12 11:24:31.817736
72,a6c424,c9f0f8,5,1,3,2020-02-12 11:25:02.767972
73,a6c424,c9f0f8,5,2,4,2020-02-12 11:25:46.300856
74,a6c424,c9f0f8,7,1,5,2020-02-12 11:26:35.253811
75,a6c424,c9f0f8,9,1,6,2020-02-12 11:27:15.405177
76,a6c424,c9f0f8,10,1,7,2020-02-12 11:28:06.3453
77,a6c424,c9f0f8,11,1,8,2020-02-12 11:28:25.279665
78,a6c424,c9f0f8,11,2,9,2020-02-12 11:29:18.892281
79,5ef346,45c48c,1,1,1,2020-02-07 17:32:44.707846
80,5ef346,45c48c,2,1,2,2020-02-07 17:33:12.180627
81,5ef346,45c48c,3,1,3,2020-02-07 17:33:43.016425
82,5ef346,45c48c,4,1,4,2020-02-07 17:33:44.69966
83,5ef346,45c48c,5,1,5,2020-02-07 17:34:02.558855
84,5ef346,45c48c,6,1,6,2020-02-07 17:34:23.327758
85,5ef346,45c48c,11,1,7,2020-02-07 17:34:35.345732
86,d39d35,d3d944,1,1,1,2020-01-23 21:47:03.576066
87,d39d35,d3d944,2,1,2,2020-01-23 21:47:26.31721
88,d39d35,d3d944,3,1,3,2020-01-23 21:47:33.352359
89,d39d35,d3d944,4,1,4,2020-01-23 21:47:48.935208
90,d39d35,d3d944,4,2,5,2020-01-23 21:48:06.468956
91,d39d35,d3d944,6,1,6,2020-01-23 21:48:56.594073
92,d39d35,d3d944,6,2,7,2020-01-23 21:49:00.300961
93,d39d35,d3d944,9,1,8,2020-01-23 21:49:40.667053
94,d39d35,d3d944,9,2,9,2020-01-23 21:50:38.725028
95,d39d35,d3d944,12,1,10,2020-01-23 21:51:14.109932
96,d39d35,d3d944,13,3,11,2020-01-23 21:51:22.420869
97,9c2633,6512bd,1,1,1,2020-01-17 04:59:43.046418
98,9c2633,6512bd,2,1,2,2020-01-17 05:00:12.080309
99,9c2633,6512bd,4,1,3,2020-01-17 05:00:57.913348
100,9c2633,6512bd,4,2,4,2020-01-17 05:01:05.620304
101,9c2633,6512bd,7,1,5,2020-01-17 05:01:23.203653
102,9c2633,6512bd,8,1,6,2020-01-17 05:02:19.898546
103,9c2633,6512bd,9,1,7,2020-01-17 05:02:46.527259
104,9c2633,6512bd,9,2,8,2020-01-17 05:03:14.58197
105,9c2633,6512bd,10,1,9,2020-01-17 05:03:14.96522
106,9c2633,6512bd,11,1,10,2020-01-17 05:03:40.920901
107,d69e73,c20ad4,1,1,1,2020-02-06 09:09:05.908878
108,d69e73,c20ad4,4,1,2,2020-02-06 09:10:00.887631
109,d69e73,c20ad4,5,1,3,2020-02-06 09:11:00.353528
110,d69e73,c20ad4,9,1,4,2020-02-06 09:11:27.119921
111,d69e73,c20ad4,9,2,5,2020-02-06 09:11:47.981352
112,d69e73,c20ad4,12,1,6,2020-02-06 09:12:15.152894
113,c70085,c51ce4,1,1,1,2020-02-12 08:26:14.018589
114,c70085,c51ce4,2,1,2,2020-02-12 08:26:22.66126
115,c70085,c51ce4,4,1,3,2020-02-12 08:27:06.68193
116,c70085,c51ce4,5,1,4,2020-02-12 08:27:30.701165
117,c70085,c51ce4,10,1,5,2020-02-12 08:28:04.595837
118,c70085,c51ce4,10,2,6,2020-02-12 08:28:52.242217
119,c70085,c51ce4,12,1,7,2020-02-12 08:28:53.270139
120,6a20a3,aab323,1,1,1,2020-01-12 02:49:32.092947
121,6a20a3,aab323,2,1,2,2020-01-12 02:50:10.86433
122,6a20a3,aab323,3,1,3,2020-01-12 02:51:01.655328
123,6a20a3,aab323,3,2,4,2020-01-12 02:51:09.753574
124,6a20a3,aab323,5,1,5,2020-01-12 02:51:14.213414
125,6a20a3,aab323,6,1,6,2020-01-12 02:52:02.560126
126,6a20a3,aab323,10,1,7,2020-01-12 02:52:17.094098
127,6a20a3,aab323,11,1,8,2020-01-12 02:52:57.031077
128,6a20a3,aab323,12,1,9,2020-01-12 02:52:59.643379
129,4b5d1b,9bf31c,1,1,1,2020-01-28 04:56:41.29408
130,4b5d1b,9bf31c,2,1,2,2020-01-28 04:57:15.797744
131,4b5d1b,9bf31c,3,1,3,2020-01-28 04:57:24.349407
132,4b5d1b,9bf31c,3,2,4,2020-01-28 04:57:30.125256
133,4b5d1b,9bf31c,9,1,5,2020-01-28 04:58:05.239156
134,4b5d1b,9bf31c,9,2,6,2020-01-28 04:58:53.582952
135,4b5d1b,9bf31c,11,1,7,2020-01-28 04:59:11.343632
136,4b5d1b,9bf31c,12,1,8,2020-01-28 05:00:02.54472
137,4b5d1b,9bf31c,13,3,9,2020-01-28 05:00:57.529188
138,69440b,c74d97,1,1,1,2020-01-06 21:45:50.948835
139,69440b,c74d97,2,1,2,2020-01-06 21:46:36.30509
140,69440b,c74d97,11,1,3,2020-01-06 21:46:42.014651
141,69440b,c74d97,11,2,4,2020-01-06 21:47:10.846217
142,69440b,c74d97,12,1,5,2020-01-06 21:47:52.127691
143,69440b,c74d97,13,3,6,2020-01-06 21:48:34.834957
144,e70fd5,70efdf,1,1,1,2020-02-17 10:05:50.894637
145,e70fd5,70efdf,2,1,2,2020-02-17 10:06:36.737304
146,e70fd5,70efdf,4,1,3,2020-02-17 10:06:53.764928
147,e70fd5,70efdf,4,2,4,2020-02-17 10:07:51.061105
148,e70fd5,70efdf,6,1,5,2020-02-17 10:08:06.935513
149,e70fd5,70efdf,6,2,6,2020-02-17 10:09:04.536992
150,e70fd5,70efdf,9,1,7,2020-02-17 10:09:50.987371
151,e70fd5,70efdf,11,1,8,2020-02-17 10:10:26.393753
152,e70fd5,70efdf,12,1,9,2020-02-17 10:11:16.562551
153,48810d,6f4922,1,1,1,2020-02-29 15:26:40.947095
154,48810d,6f4922,2,1,2,2020-02-29 15:27:14.792315
155,48810d,6f4922,8,1,3,2020-02-29 15:27:52.875685
156,48810d,6f4922,9,1,4,2020-02-29 15:28:27.524633
157,fdf383,1f0e3d,1,1,1,2020-02-11 13:52:24.211825
158,fdf383,1f0e3d,2,1,2,2020-02-11 13:53:23.842767
159,fdf383,1f0e3d,3,1,3,2020-02-11 13:53:23.899118
160,fdf383,1f0e3d,3,2,4,2020-02-11 13:54:01.355168
161,fdf383,1f0e3d,4,1,5,2020-02-11 13:54:48.452227
162,fdf383,1f0e3d,5,1,6,2020-02-11 13:55:00.70358
163,fdf383,1f0e3d,6,1,7,2020-02-11 13:55:39.379189
164,fdf383,1f0e3d,12,1,8,2020-02-11 13:56:06.155978
165,fdf383,1f0e3d,13,3,9,2020-02-11 13:56:47.90472
166,378a75,98f137,1,1,1,2020-02-12 23:33:50.816642
167,378a75,98f137,2,1,2,2020-02-12 23:34:08.899141
168,378a75,98f137,8,1,3,2020-02-12 23:34:55.184939
169,378a75,98f137,9,1,4,2020-02-12 23:35:03.237855
170,a67606,3c59dc,1,1,1,2020-02-14 21:10:08.838252
171,a67606,3c59dc,4,1,2,2020-02-14 21:10:26.159489
172,a67606,3c59dc,8,1,3,2020-02-14 21:11:20.464873
173,a67606,3c59dc,9,1,4,2020-02-14 21:12:17.518529
174,a67606,3c59dc,9,2,5,2020-02-14 21:13:01.756609
175,a67606,3c59dc,12,1,6,2020-02-14 21:13:28.57594
176,a67606,3c59dc,13,3,7,2020-02-14 21:14:06.143987
177,71740f,b6d767,1,1,1,2020-02-08 21:30:48.985777
178,71740f,b6d767,2,1,2,2020-02-08 21:31:07.102895
179,71740f,b6d767,4,1,3,2020-02-08 21:32:06.252986
180,71740f,b6d767,4,2,4,2020-02-08 21:32:44.043535
181,71740f,b6d767,5,1,5,2020-02-08 21:33:02.141059
182,71740f,b6d767,6,1,6,2020-02-08 21:33:53.147475
183,71740f,b6d767,7,1,7,2020-02-08 21:34:02.611086
184,71740f,b6d767,7,2,8,2020-02-08 21:34:03.684007
185,71740f,b6d767,8,1,9,2020-02-08 21:34:24.003705
186,71740f,b6d767,8,2,10,2020-02-08 21:35:01.597757
187,71740f,b6d767,9,1,11,2020-02-08 21:35:13.696946
188,71740f,b6d767,9,2,12,2020-02-08 21:35:49.810941
189,71740f,b6d767,10,1,13,2020-02-08 21:35:55.57263
190,71740f,b6d767,10,2,14,2020-02-08 21:36:09.114777
191,71740f,b6d767,11,1,15,2020-02-08 21:36:29.066529
192,71740f,b6d767,11,2,16,2020-02-08 21:36:43.915368
193,71740f,b6d767,12,1,17,2020-02-08 21:37:38.073044
194,71740f,b6d767,13,3,18,2020-02-08 21:38:14.384829
195,d7fa36,37693c,1,1,1,2020-01-16 22:30:01.781
196,d7fa36,37693c,2,1,2,2020-01-16 22:30:52.624379
197,d7fa36,37693c,4,1,3,2020-01-16 22:31:12.357021
198,d7fa36,37693c,5,1,4,2020-01-16 22:31:24.092845
199,d7fa36,37693c,9,1,5,2020-01-16 22:31:33.690926
200,2a5092,1ff1de,1,1,1,2020-01-23 20:05:46.748733
201,2a5092,1ff1de,3,1,2,2020-01-23 20:06:45.365631
202,2a5092,1ff1de,4,1,3,2020-01-23 20:07:09.764502
203,2a5092,1ff1de,4,2,4,2020-01-23 20:07:28.434555
204,2a5092,1ff1de,9,1,5,2020-01-23 20:07:50.625356
205,2a5092,1ff1de,9,2,6,2020-01-23 20:08:44.853286
206,2a5092,1ff1de,10,1,7,2020-01-23 20:08:57.937689
207,2a5092,1ff1de,10,2,8,2020-01-23 20:09:48.333546
208,2a5092,1ff1de,11,1,9,2020-01-23 20:10:40.948346
209,2a5092,1ff1de,12,1,10,2020-01-23 20:11:39.011841
210,2a5092,1ff1de,13,3,11,2020-01-23 20:11:43.709463
211,ce1b65,8e296a,1,1,1,2020-01-08 18:34:24.082895
212,ce1b65,8e296a,2,1,2,2020-01-08 18:35:23.241017
213,ce1b65,8e296a,4,1,3,2020-01-08 18:36:13.358878
214,ce1b65,8e296a,4,2,4,2020-01-08 18:36:44.905584
215,ce1b65,8e296a,5,1,5,2020-01-08 18:36:51.611039
216,ce1b65,8e296a,7,1,6,2020-01-08 18:36:53.320521
217,ce1b65,8e296a,7,2,7,2020-01-08 18:37:32.256924
218,ce1b65,8e296a,8,1,8,2020-01-08 18:38:11.678928
219,ce1b65,8e296a,9,1,9,2020-01-08 18:38:13.007925
220,ce1b65,8e296a,9,2,10,2020-01-08 18:38:57.83428
221,ce1b65,8e296a,11,1,11,2020-01-08 18:39:53.40204
222,ce1b65,8e296a,12,1,12,2020-01-08 18:40:09.495547
223,ce1b65,8e296a,13,3,13,2020-01-08 18:40:31.620629
224,8bfa80,4e732c,1,1,1,2020-01-26 20:57:16.531533
225,8bfa80,4e732c,2,1,2,2020-01-26 20:57:30.72916
226,8bfa80,4e732c,3,1,3,2020-01-26 20:57:32.87345
227,8bfa80,4e732c,3,2,4,2020-01-26 20:57:52.12501
228,8bfa80,4e732c,6,1,5,2020-01-26 20:58:13.386788
229,8bfa80,4e732c,8,1,6,2020-01-26 20:58:26.638894
230,8bfa80,4e732c,8,2,7,2020-01-26 20:58:46.119458
231,8bfa80,4e732c,10,1,8,2020-01-26 20:59:05.73844
232,37c63a,02e74f,1,1,1,2020-01-31 11:10:22.629494
233,37c63a,02e74f,3,1,2,2020-01-31 11:11:04.391341
234,37c63a,02e74f,3,2,3,2020-01-31 11:11:54.668494
235,37c63a,02e74f,6,1,4,2020-01-31 11:12:44.738062
236,37c63a,02e74f,9,1,5,2020-01-31 11:12:53.863979
237,37c63a,02e74f,9,2,6,2020-01-31 11:13:01.507129
238,37c63a,02e74f,10,1,7,2020-01-31 11:13:04.368514
239,37c63a,02e74f,11,1,8,2020-01-31 11:13:10.070933
240,37c63a,02e74f,11,2,9,2020-01-31 11:13:13.311684
241,37c63a,02e74f,12,1,10,2020-01-31 11:13:17.208624
242,37c63a,02e74f,13,3,11,2020-01-31 11:13:31.09669
243,32a3fc,33e75f,1,1,1,2020-02-29 02:02:48.883437
244,32a3fc,33e75f,2,1,2,2020-02-29 02:03:20.222426
245,32a3fc,33e75f,3,1,3,2020-02-29 02:04:00.638628
246,32a3fc,33e75f,4,1,4,2020-02-29 02:04:49.671549
247,32a3fc,33e75f,5,1,5,2020-02-29 02:05:09.212041
248,32a3fc,33e75f,5,2,6,2020-02-29 02:05:21.160444
249,32a3fc,33e75f,7,1,7,2020-02-29 02:06:03.266493
250,32a3fc,33e75f,7,2,8,2020-02-29 02:06:10.857614
251,32a3fc,33e75f,8,1,9,2020-02-29 02:06:23.502862
252,32a3fc,33e75f,10,1,10,2020-02-29 02:06:49.908697
253,32a3fc,33e75f,12,1,11,2020-02-29 02:07:32.96808
254,32a3fc,33e75f,13,3,12,2020-02-29 02:07:52.581584
255,0813d2,6ea9ab,1,1,1,2020-01-10 12:01:39.723646
256,0813d2,6ea9ab,2,1,2,2020-01-10 12:02:34.694713
257,0813d2,6ea9ab,3,1,3,2020-01-10 12:02:59.95531
258,0813d2,6ea9ab,3,2,4,2020-01-10 12:03:24.20834
259,0813d2,6ea9ab,4,1,5,2020-01-10 12:03:31.543153
260,0813d2,6ea9ab,4,2,6,2020-01-10 12:04:19.218216
261,0813d2,6ea9ab,6,1,7,2020-01-10 12:05:06.076636
262,0813d2,6ea9ab,6,2,8,2020-01-10 12:05:36.002339
263,0813d2,6ea9ab,8,1,9,2020-01-10 12:05:50.762377
264,0813d2,6ea9ab,9,1,10,2020-01-10 12:06:13.247649
265,0813d2,6ea9ab,12,1,11,2020-01-10 12:06:36.827474
266,0813d2,6ea9ab,13,3,12,2020-01-10 12:07:26.648881
267,cd512e,34173c,1,1,1,2020-02-02 01:54:14.713832
268,cd512e,34173c,3,1,2,2020-02-02 01:54:33.16769
269,cd512e,34173c,3,2,3,2020-02-02 01:55:25.698466
270,cd512e,34173c,6,1,4,2020-02-02 01:56:16.139298
271,cd512e,34173c,7,1,5,2020-02-02 01:56:51.88124
272,cd512e,34173c,7,2,6,2020-02-02 01:57:17.009883
273,cd512e,34173c,12,1,7,2020-02-02 01:57:42.354067
274,cd512e,34173c,13,3,8,2020-02-02 01:58:02.614488
275,d193fc,c16a53,1,1,1,2020-02-13 18:54:53.544665
276,d193fc,c16a53,4,1,2,2020-02-13 18:55:15.518477
277,d193fc,c16a53,5,1,3,2020-02-13 18:55:24.517397
278,d193fc,c16a53,5,2,4,2020-02-13 18:56:12.183548
279,d193fc,c16a53,6,1,5,2020-02-13 18:56:12.43574
280,d193fc,c16a53,8,1,6,2020-02-13 18:56:42.247455
281,d193fc,c16a53,8,2,7,2020-02-13 18:57:19.379645
282,d193fc,c16a53,10,1,8,2020-02-13 18:57:45.773043
283,d193fc,c16a53,11,1,9,2020-02-13 18:58:25.213467
284,4c98cd,6364d3,1,1,1,2020-02-17 22:10:30.714261
285,4c98cd,6364d3,4,1,2,2020-02-17 22:10:47.796673
286,4c98cd,6364d3,4,2,3,2020-02-17 22:11:46.94049
287,4c98cd,6364d3,7,1,4,2020-02-17 22:11:49.016464
288,4c98cd,6364d3,11,1,5,2020-02-17 22:12:01.245325
289,4c98cd,6364d3,11,2,6,2020-02-17 22:12:48.870791
290,4c98cd,6364d3,12,1,7,2020-02-17 22:13:00.529696
291,4c98cd,6364d3,13,3,8,2020-02-17 22:13:17.635849
292,8d7256,182be0,1,1,1,2020-02-03 13:00:48.917482
293,8d7256,182be0,2,1,2,2020-02-03 13:01:17.332978
294,8d7256,182be0,3,1,3,2020-02-03 13:02:11.96766
295,8d7256,182be0,3,2,4,2020-02-03 13:02:13.977298
296,8d7256,182be0,8,1,5,2020-02-03 13:02:38.836246
297,8d7256,182be0,8,2,6,2020-02-03 13:03:05.557892
298,8d7256,182be0,11,1,7,2020-02-03 13:03:51.809355
299,97cca6,e36985,1,1,1,2020-02-24 07:27:19.727667
300,97cca6,e36985,2,1,2,2020-02-24 07:27:51.987858
301,97cca6,e36985,4,1,3,2020-02-24 07:28:23.283688
302,97cca6,e36985,5,1,4,2020-02-24 07:28:50.347108
303,97cca6,e36985,5,2,5,2020-02-24 07:29:38.925099
304,97cca6,e36985,7,1,6,2020-02-24 07:30:04.298648
305,97cca6,e36985,8,1,7,2020-02-24 07:30:51.881743
306,97cca6,e36985,8,2,8,2020-02-24 07:31:14.991994
307,97cca6,e36985,9,1,9,2020-02-24 07:32:13.249051
308,97cca6,e36985,9,2,10,2020-02-24 07:32:20.737546
309,97cca6,e36985,10,1,11,2020-02-24 07:32:36.869984
310,97cca6,e36985,10,2,12,2020-02-24 07:32:42.917328
311,97cca6,e36985,12,1,13,2020-02-24 07:33:11.277259
312,97cca6,e36985,13,3,14,2020-02-24 07:33:55.226269
313,6baa37,1c383c,1,1,1,2020-01-22 01:09:59.482433
314,6baa37,1c383c,2,1,2,2020-01-22 01:10:20.7825
315,6baa37,1c383c,3,1,3,2020-01-22 01:10:31.643956
316,6baa37,1c383c,3,2,4,2020-01-22 01:11:06.752753
317,6baa37,1c383c,4,1,5,2020-01-22 01:12:00.048042
318,6baa37,1c383c,9,1,6,2020-01-22 01:12:26.860699
319,6baa37,1c383c,9,2,7,2020-01-22 01:12:31.564125
320,6baa37,1c383c,10,1,8,2020-01-22 01:12:44.593997
321,6baa37,1c383c,10,2,9,2020-01-22 01:13:29.75697
322,6baa37,1c383c,12,1,10,2020-01-22 01:14:25.423766
323,6baa37,1c383c,13,3,11,2020-01-22 01:14:58.172677
324,64fca2,19ca14,1,1,1,2020-02-14 18:08:54.505384
325,64fca2,19ca14,2,1,2,2020-02-14 18:08:55.660304
326,64fca2,19ca14,7,1,3,2020-02-14 18:09:41.058108
327,64fca2,19ca14,8,1,4,2020-02-14 18:10:28.237473
328,64fca2,19ca14,8,2,5,2020-02-14 18:11:07.039819
329,64fca2,19ca14,10,1,6,2020-02-14 18:11:50.196165
330,64fca2,19ca14,12,1,7,2020-02-14 18:12:38.026417
331,64fca2,19ca14,13,3,8,2020-02-14 18:13:01.76546
332,d214e6,a5bfc9,1,1,1,2020-02-03 01:15:00.371654
333,d214e6,a5bfc9,2,1,2,2020-02-03 01:15:30.294118
334,d214e6,a5bfc9,4,1,3,2020-02-03 01:15:50.865437
335,d214e6,a5bfc9,4,2,4,2020-02-03 01:15:53.327698
336,d214e6,a5bfc9,6,1,5,2020-02-03 01:16:43.226923
337,d214e6,a5bfc9,6,2,6,2020-02-03 01:17:42.727167
338,d214e6,a5bfc9,11,1,7,2020-02-03 01:18:10.31608
339,d214e6,a5bfc9,12,1,8,2020-02-03 01:18:30.612645
340,d214e6,a5bfc9,13,3,9,2020-02-03 01:19:04.448952
341,97cf44,a5771b,1,1,1,2020-01-28 22:16:01.381014
342,97cf44,a5771b,2,1,2,2020-01-28 22:16:38.591811
343,97cf44,a5771b,3,1,3,2020-01-28 22:17:09.747283
344,97cf44,a5771b,3,2,4,2020-01-28 22:17:55.733965
345,97cf44,a5771b,5,1,5,2020-01-28 22:18:00.165569
346,97cf44,a5771b,7,1,6,2020-01-28 22:18:10.235114
347,97cf44,a5771b,7,2,7,2020-01-28 22:18:47.57162
348,97cf44,a5771b,8,1,8,2020-01-28 22:19:32.217359
349,97cf44,a5771b,8,2,9,2020-01-28 22:19:33.060416
350,97cf44,a5771b,9,1,10,2020-01-28 22:19:34.024478
351,97cf44,a5771b,9,2,11,2020-01-28 22:20:30.225383
352,97cf44,a5771b,11,1,12,2020-01-28 22:21:29.876528
353,97cf44,a5771b,12,1,13,2020-01-28 22:21:41.683881
354,97cf44,a5771b,13,3,14,2020-01-28 22:22:07.221874
355,f0e648,d67d8a,1,1,1,2020-01-13 00:46:21.320321
356,f0e648,d67d8a,2,1,2,2020-01-13 00:46:45.489807
357,f0e648,d67d8a,8,1,3,2020-01-13 00:46:59.974482
358,f0e648,d67d8a,8,2,4,2020-01-13 00:47:51.211522
359,f0e648,d67d8a,11,1,5,2020-01-13 00:48:48.201073
360,f0e648,d67d8a,12,1,6,2020-01-13 00:49:42.195434
361,f0e648,d67d8a,13,3,7,2020-01-13 00:50:34.778623
362,8bfb23,d64592,1,1,1,2020-02-07 22:03:56.504665
363,8bfb23,d64592,2,1,2,2020-02-07 22:04:21.304721
364,8bfb23,d64592,3,1,3,2020-02-07 22:04:30.286575
365,8bfb23,d64592,3,2,4,2020-02-07 22:05:22.318105
366,8bfb23,d64592,4,1,5,2020-02-07 22:06:21.869686
367,8bfb23,d64592,6,1,6,2020-02-07 22:07:00.056361
368,8bfb23,d64592,6,2,7,2020-02-07 22:07:08.164875
369,8bfb23,d64592,7,1,8,2020-02-07 22:07:59.624811
370,8bfb23,d64592,8,1,9,2020-02-07 22:08:23.856913
371,8bfb23,d64592,8,2,10,2020-02-07 22:08:28.111064
372,8bfb23,d64592,9,1,11,2020-02-07 22:09:11.344522
373,8bfb23,d64592,9,2,12,2020-02-07 22:09:56.332883
374,8bfb23,d64592,10,1,13,2020-02-07 22:10:09.005111
375,8bfb23,d64592,10,2,14,2020-02-07 22:10:34.145102
376,8bfb23,d64592,12,1,15,2020-02-07 22:10:36.113556
377,8bfb23,d64592,13,3,16,2020-02-07 22:10:40.754938
378,aa6d31,3416a7,1,1,1,2020-01-09 21:59:51.43309
379,aa6d31,3416a7,2,1,2,2020-01-09 22:00:00.128498
380,aa6d31,3416a7,3,1,3,2020-01-09 22:00:38.562311
381,aa6d31,3416a7,4,1,4,2020-01-09 22:00:46.05229
382,aa6d31,3416a7,4,2,5,2020-01-09 22:01:15.748761
383,aa6d31,3416a7,6,1,6,2020-01-09 22:01:29.277619
384,aa6d31,3416a7,6,2,7,2020-01-09 22:01:31.771191
385,aa6d31,3416a7,9,1,8,2020-01-09 22:01:55.59754
386,aa6d31,3416a7,10,1,9,2020-01-09 22:02:30.93816
387,d54641,a1d0c6,1,1,1,2020-02-29 01:09:31.996659
388,d54641,a1d0c6,3,1,2,2020-02-29 01:09:50.786949
389,d54641,a1d0c6,5,1,3,2020-02-29 01:10:49.37893
390,d54641,a1d0c6,5,2,4,2020-02-29 01:11:26.409757
391,d54641,a1d0c6,6,1,5,2020-02-29 01:12:21.263067
392,d54641,a1d0c6,8,1,6,2020-02-29 01:13:14.009298
393,d54641,a1d0c6,11,1,7,2020-02-29 01:13:28.350387
394,d54641,a1d0c6,12,1,8,2020-02-29 01:13:35.985454
395,d54641,a1d0c6,13,3,9,2020-02-29 01:14:18.47331
396,f60bb1,17e621,1,1,1,2020-02-22 07:52:30.386862
397,f60bb1,17e621,2,1,2,2020-02-22 07:52:54.20364
398,f60bb1,17e621,8,1,3,2020-02-22 07:53:09.708422
399,f60bb1,17e621,8,2,4,2020-02-22 07:53:41.93345
400,f60bb1,17e621,10,1,5,2020-02-22 07:54:31.717058
401,f60bb1,17e621,11,1,6,2020-02-22 07:55:11.898834
402,f60bb1,17e621,12,1,7,2020-02-22 07:55:54.799916
403,f60bb1,17e621,13,3,8,2020-02-22 07:56:31.338114
